0|000520|20190331|0.012500|20190430|20190403|20190403||20190510|-3.00|20181011||
0|000521|20190331|0.057900|20190420|20190409|20190315|20180509|20190413|-743.06|20181129||
0|000523|20190331|0.020000|20190430|20190515|20190517|20180413|20180813|0.47|20190517||
0|000524|20190331|0.167000|20190430|20181116|||20190102|-0.11|20170417||
0|000525|20190331|0.207000|20190430|20190408|20190409||20190301|3000.00|20170511||
0|000526|20190331|0.026200|20190427|20190321||20181019|20190304|-37.59|20181017||
0|000528|20190331|0.208000|20190430|20180515|||||20181011||
0|000529|20190331|0.050000|20190427|20190416|20190426||||20190506||
0|000530|20190331|0.125000|20190420|20190311|20190312||||20190314||
0|000531|20190331|0.115500|20190427|20190508|20190415|20171110|20181108|7.48|20190506||
0|000532|20190331|0.014400|20190426|20190219|20190129||20190517|-0.04|20181205||
0|000533|20190331|-0.006500|20190430|20190430|20190617|20180130|||20190429||
0|000534|20190331|0.040000|20190429|20170904||20181022|20190320|-4917.85|20160509||
0|000536|20190331|-0.134300|20190430|20190424|20190305||||20190429||
0|000537|20190331|0.310000|20190426|20180123||20170817|||20180207||
0|000538|20190331|0.810000|20190430|20180507||20190516|20190625|-1041.39|||
0|000539|20190331|0.020900|20190430|20170412|||||||
0|000540|20190331|0.134600|20190425|20190225|20190104|20170821|20190211|1912.07|20190103||
0|000541|20190331|0.061900|20190426|20151013|||20190222|5.29|||
0|000543|20190331|0.080000|20190427|20180307||20190325|20181130|217.01|20150119||
0|000544|20190331|0.060000|20190430|20190627|20190627||||20181011||
0|000545|20190331|0.025300|20190427|20190122|20190122|20180611|20190226|-10.00|||
0|000546|20190331|0.011600|20190427|20171127|||20190617|0.20|20180817||
0|000547|20190331|0.060000|20190426|20190107|20190429|20181114|20190130|-1.88|20190429||
0|000548|20190331|0.014600|20190427|20181114|||20180918|499.21|20150119||
0|000550|20190331|0.030000|20190425|20180117|20190617||||20190506||
0|000551|20190331|0.050000|20190427|20190422|||20190201|-1.36|20190506||
0|000552|20190331|0.065800|20190430|20180205|||||||
0|000553|20190331|0.150000|20190430|20190516|||||20161212||
0|000554|20190331|0.001000|20190427|20170818|20190319||||20190506||
0|000555|20190331|0.035400|20190412|20190116|20190517|20180308|20190407|-963.41|20190506||
0|000557|20190331|0.019700|20190429|20190318|20190109|20171128|||20190425||
0|000558|20190331|-0.023600|20190430|20190515|20190125|20180206|20190311|-38547.80|20180619|20190430|6
0|000559|20190331|0.081000|20190427|20190307|||20181109|-0.60|20181011||
0|000560|20190331|0.088500|20190426|20190128|20190131|20170929|20190530|0.29|20190506||
0|000561|20190331|-0.030000|20190430|20190402|||||20181011||
0|000563|20190331|0.061000|20190426|20190620|20190620|20180717|||20190429||
0|000564|20190331|-0.018300|20190430|20190225||20171128|20190125|-1986.41|20190506||
0|000565|20190331|0.030000|20190424|20190513|20190513||||20181011||
0|000566|20190331|0.050000|20190430|20190313|20190508|20190429|20190312|-1454.99|20190508||
0|000567|20190331|0.075900|20190429|20190620|20190527||20190102|1.00|20190506||
0|000568|20190331|1.034000|20190426|20190515|20190515||||||
0|000570|20190331|0.004500|20190430|20190624|20190624||||20190325||
0|000571|20190331|-0.038600|20190429|20190627|20190611||20181107|-814.06|20190611||
0|000572|20190331|-0.026700|20190427|20190320|||||20190506||
0|000573|20190331|0.125400|20190430|20181114|||20180905|50.00|20180619||
0|000576|20190331|0.055500|20190420|20190409|20190304|20180917|20190312|-0.50|20190506||
0|000581|20190331|0.680000|20190429|20170626|||||||
0|000582|20190331|0.134000|20190430|20180416||20171026|||20170511||
0|000584|20190331|0.023100|20190423|20190604|20190604|20180329|||20181016||
0|000585|20190331|-0.005700|20190430|20190430|20190321|20170829|||20190429||
0|000586|20190331|-0.008000|20190430|20190612|20190613|20180205|20190509|0.21|20190606||
0|000587|20190331|-0.380000|20190430|20190621|20190626|20180615|20190429|-0.90|20190626||
0|000589|20190331|0.050000|20190427|20190613|20190613||||20190523||
0|000590|20190331|0.045000|20190420|20190426|20190530|20190225|20190522|-0.05|20190429||
0|000591|20190331|0.041800|20190427|20190201|20190201||||20180628||
0|000592|20190331|-0.001800|20190430|20190418|20190419|20170809|20190606|-350.00|20190506||
0|000593|20190331|0.004000|20190430|20190606|20190606|20180320|20190527|65.86|20190131||
0|000595|20190331|-0.030000|20190430|20190402|20190115|20170801|20190108|-661.00|20190423||
0|000596|20190331|1.560000|20190427|20190318|20190509||||20181029||
0|000597|20190331|0.100000|20190426|20170314|||20190507|0.08|||
0|000598|20190331|0.087400|20190426|20151016|||||||
0|000599|20190331|0.017000|20190429|20190510|20190514||||20180619||
0|000600|20190331|0.175000|20190427|20181119|20190430|20190306|||20181011||
0|000601|20190331|0.101800|20190426|20160203|||||20181011||
0|000603|20190331|0.141000|20190426|20190220|20190111|20180611|||20180822||
0|000605|20190331|0.018800|20190430|20190115|20190115||||20180619||
0|000606|20190331|0.092900|20190430|20190401||20180202|20190618|-1530.00|20181123||
0|000607|20190331|-0.009800|20190430|20190627|20190627||||20190506||
0|000608|20190331|-0.030000|20190430|20190402|20190603|20190326|20190423|-306.88|20190429||
0|000609|20190331|-0.090000|20190427|20190612|20190613|20170821|||20181011||
0|000610|20190331|-0.015000|20190426|20190422|20190423||20180718|1.00|20190506||
0|000611|20190331|-0.016500|20190430|20190621|20190131|20180531|||20190606||
0|000612|20190331|-0.058500|20190426|20190617|20190617||20190517|-101.73|20181011||
0|000613|20190331|0.004300|20190425|20190522|20190522|20180131|20181207|1626.30|20190131||
0|000615|20190331|0.016900|20190430|20190329|20190329|20180614|20181017|0.05|20181011||
0|000616|20190331|-0.010000|20190427|20190515|20190122|20180124|||20181011||
0|000617|20190331|0.230000|20190426|20190225|||||20170110||
0|000619|20190331|-0.038400|20190419|20170410|||20181024|293.67|||
